Date,Price,Open,High,Low,Vol.,Change %
2020-07-28,0.148793,0.138657,0.150673,0.134882,1.18B,7.31%
2020-07-27,0.138658,0.148171,0.149736,0.130398,1.72B,-6.42%
2020-07-26,0.148171,0.14352,0.154164,0.141554,1.60B,3.24%
2020-07-25,0.143527,0.121959,0.145599,0.121946,1.37B,17.68%
2020-07-24,0.12196,0.12419,0.124337,0.120833,353.46M,-1.80%
2020-07-23,0.12419,0.12384,0.125964,0.123678,410.78M,0.28%
2020-07-22,0.123846,0.123131,0.124498,0.120528,352.25M,0.58%
2020-07-21,0.123128,0.117755,0.124508,0.116935,512.49M,4.56%
2020-07-20,0.117755,0.123963,0.124143,0.116087,438.33M,-4.99%
2020-07-19,0.123935,0.122671,0.124675,0.121261,376.55M,1.03%
2020-07-18,0.122673,0.122233,0.124681,0.118296,553.94M,0.36%
2020-07-17,0.122233,0.125998,0.126546,0.121859,579.38M,-2.99%
2020-07-16,0.125998,0.130592,0.133049,0.11871,1.12B,-3.52%
2020-07-15,0.130592,0.132405,0.132694,0.127514,748.53M,-1.37%
2020-07-14,0.132405,0.124416,0.134792,0.121164,1.16B,6.42%
2020-07-13,0.124416,0.12691,0.135676,0.122177,1.41B,-1.96%
2020-07-12,0.12691,0.125197,0.128357,0.120578,887.71M,1.37%
2020-07-11,0.125197,0.1184,0.126969,0.117999,972.21M,5.74%
2020-07-10,0.118401,0.124008,0.124201,0.110517,1.47B,-4.52%
